Adjusted Gross Income Class,Number of Returns,,Federal AGI (Thousands),California Adjustments (Thousands),California AGI (Thousands),California Deductions (Thousands),Taxable Income (Thousands),Total Tax Liability (Thousands),Wages and Salaries,,Taxable Interest,,Taxable Dividends,,Taxable Pensions and Annuities,,Business Income,,,,Net Sale of Capital Assets,,,,Rents and Royalties,,,,Partnerships and S-Corp Gain,,Partnerships and S-Corp Loss,,Estates and Trusts Gain,,Estates and Trusts Loss,,Farm Income,,,,All Other Federal Income Sources Profit,,All Other Federal Income Sources Loss,,Total Income,,Individual Retirement Plan,,Student Loan Interest,,Tuition & Fees,,Moving Expense,,Half Self-Employment Tax,,Self-Employed Health Insurance,,Self-Employed Retirement Plan,,Penalty on Early Withdrawal of Savings,,Alimony Paid,,Domestic Production,,Total Adjustments,,Total California Subtractions,,Total California Additions,,Medical Expenses,,State and Local Income Taxes,,Real Estate Taxes,,Personal Property Taxes,,Other Taxes,,Total Taxes,,Mortgage Interest,,Points and Investment Interest,,Total Interest,,Cash/Check Contributions,,Non-Cash Contributions,,Contribution Carryover,,Total Contributions,,Casualty and Theft Losses,,All Other Deductions,,Total Federal Itemized Deductions,,California Adjusted to Fed Itemized Deductions,,California Itemized Deductions,,California Standard Deductions,,Personal Exemption Credit,Personal Exemption Credit,Dependent Exemption Credit,Dependent Exemption Credit,Senior/Blind Exemption Credit,Senior/Blind Exemption Credit,Total Exemption Credit,,Other State Tax Credit,,Total Special Credit,,Renter's Credit,,G-1 Tax/5870A Tax,,Alternative Minimum Tax,,Mental Health Tax,,Other Taxes,,Taxes Witheld,,Estimated Taxes Paid,,Excess State Disability Insurance (SDI),,Nonrefundable Child and Dependent Credit,,Overpayment,,Credit to Next Year's Tax,,Total Voluntary Contributions,,Refund,,Tax Due,
,,,,,,,,,,,,,,,,,Profit,,Loss,,Profit,,Loss,,Profit,,Loss,,,,,,,,,,Profit,,Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All,Taxable,,,,,,,Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands)
"38,000  to  38,999","168,353","100,271","6,806,737","-326,121","6,480,616","1,440,443","5,066,246","59,716","145,356","5,449,730","36,662","32,307","13,518","59,583","22,905","510,724","18,161","335,342","5,685","-45,659","8,966","51,806","5,109","-10,823","3,774","39,084","3,237","-43,109","2,759","55,738","2,356","23,753",219,960,,,109,"2,500",273,"-12,563","39,588","538,190","2,018","52,691","168,353","6,886,930","2,843","14,555","11,588","11,951",437,964,55,49,"17,767","25,746","2,788","14,042",164,"4,253",219,47,219,"2,990",,,"32,526","80,193","36,419","376,181","9,562","50,060","5,744","96,127","11,429","16,439","9,352","50,876","7,326","4,145","1,312","2,122","11,758","73,583","8,259","108,828","1,094","2,174","8,368","111,002","8,036","23,581","5,084","5,161",273,"1,182","8,637","29,924",,,"7,296","47,449","11,868","315,427",,,"27,840","525,757","140,512","914,686","206,751","25,224","108,451","40,994","32,486",47,"167,369","70,181",492,119,"49,195","3,366","48,758","3,125",,,55,10,,,"3,990",588,"149,784","116,310","2,625","2,604",,,164,75,"135,189","67,218","1,203",622,,,,,,
"39,000  to  39,999","165,989","100,156","6,863,496","-308,063","6,555,433","1,438,001","5,167,394","64,107","144,535","5,530,540","37,165","36,296","16,798","72,185","21,440","476,775","15,974","292,697","5,958","-55,659","10,345","62,732","6,410","-14,644","4,047","55,887","2,734","-33,477","2,879","74,522","2,101","29,554",220,"3,143",55,"3,268",,,285,"-6,628","40,001","569,186","2,452","98,034","165,934","6,934,483","3,203","16,514","14,048","14,633",383,326,55,49,"15,548","22,414","3,017","13,040",329,"2,222",328,55,273,"1,505",,,"32,689","73,964","35,776","406,998","11,374","98,935","5,325","98,659","11,022","21,030","9,384","52,035","7,830","4,607",985,863,"11,461","78,534","8,453","113,460","1,269","2,625","8,617","116,085","7,763","26,216","5,412","6,283",164,441,"8,364","32,940",,,"8,102","46,483","11,680","324,857",55,354,"28,190","530,440","137,798","907,561","203,995","24,887","109,341","41,331","30,584",33,"164,785","69,949",328,55,"48,976","3,313","48,430","3,197",,,55,59,,,"3,455",462,"147,635","123,667","3,894","5,586",,,219,8,"133,930","73,497","1,598",908,,,,,,
"40,000  to  49,999","1,399,688","908,553","66,385,046","-3,656,215","62,729,174","12,749,592","50,253,222","757,159","1,207,744","52,177,700","370,904","369,328","152,915","655,873","205,227","4,880,967","145,071","2,949,980","57,019","-468,876","91,750","578,926","56,314","-123,987","40,419","526,509","28,861","-324,001","28,241","761,823","19,140","311,620","3,559","62,577",440,"3,851",492,"17,560","2,301","-96,379","368,170","5,975,075","19,625","484,302","1,399,251","67,148,124","27,059","141,319","123,483","132,580","5,690","12,078",383,699,"143,050","226,499","31,403","165,466","4,594","41,709","3,170",605,"2,350","21,003",,,"302,567","791,012","332,792","4,257,857","108,816","601,642","48,429","737,908","120,110","243,223","104,484","561,710","77,546","47,963","14,545","15,914","121,273","868,810","96,774","1,253,858","12,834","28,079","98,090","1,281,937","83,978","253,848","63,475","78,907","1,643","9,002","94,803","341,757",,,"78,123","484,261","121,492","3,252,914",765,834,"286,495","5,389,992","1,112,975","7,359,600","1,771,617","216,137","942,497","356,264","283,296",273,"1,394,579","606,949","3,939",856,"221,788","17,804","203,199","14,582",55,1,276,294,,,"33,454","5,569","1,262,608","1,336,040","38,066","60,260",a,1,"14,048","1,311","1,125,744","733,724","17,528","23,065",,,,,,
"50,000  to  59,999","1,130,682","871,687","65,204,600","-3,222,254","61,982,346","14,648,548","50,821,586","1,004,832","983,975","51,738,991","368,249","390,332","148,474","667,802","177,769","4,990,463","112,944","2,350,486","51,571","-440,835","86,151","611,842","54,532","-118,012","39,285","517,488","31,846","-364,463","29,275","854,802","19,180","455,339","3,938","56,467",656,"9,327",711,"17,809","1,928","-41,194","331,070","5,681,211","17,111","539,297","1,129,917","65,914,074","25,532","132,696","119,550","138,875","9,074","14,030",219,384,"110,826","181,937","25,785","152,048","2,898","42,532","3,040",563,"3,553","45,448",,,"266,262","752,716","295,278","3,955,685","114,957","733,431","50,867","767,272","137,439","363,261","120,262","619,404","91,945","56,315","17,166","19,514","138,721","1,058,495","111,871","1,492,294","14,057","26,852","113,746","1,519,146","94,276","310,442","70,204","96,686","1,587","14,412","107,890","421,540",,,"80,203","3,729,725","138,831","3,764,174",601,53,"300,266","9,046,723","830,142","5,601,825","1,483,278","180,960","761,285","287,766","237,915",234,"1,127,879","497,744","3,937","1,257","145,481","19,639","127,922","14,114",55,2,276,255,,,"30,241","6,202","1,040,614","1,637,416","43,332","71,845",198,23,"18,421","3,273","916,670","820,759","17,559","21,772",,,,,,
"60,000  to  69,999","909,932","788,093","61,826,603","-2,856,752","58,969,867","10,356,534","48,804,625","1,167,416","789,144","48,532,565","351,143","399,247","144,605","688,475","157,058","4,996,386","98,791","2,284,148","44,583","-404,211","85,667","680,753","52,405","-113,174","36,701","542,674","30,146","-361,983","30,354","918,383","18,555","371,324","3,871","52,587",439,"2,787",821,"19,842","1,808","-61,775","295,480","5,165,511","13,600","326,562","909,604","62,646,702","25,948","128,735","108,621","135,043","13,009","22,885",164,570,"99,286","173,799","25,135","169,989","4,377","46,089","2,901",530,"3,393","41,301",,,"247,875","765,371","265,052","3,409,263","114,495","552,511","44,840","631,732","151,658","494,374","135,520","718,807","105,239","58,397","18,002","27,259","152,334","1,298,837","127,293","1,691,677","15,931","28,165","128,390","1,719,842","106,169","356,988","84,015","114,910","1,915","16,510","119,785","488,408",,,"88,371","639,600","152,389","4,132,273",547,-543,"311,278","6,198,640","598,489","4,157,894","1,255,206","153,135","639,945","241,899","203,085",214,"908,717","419,806","4,322","1,973","161,283","24,288","140,713","16,285",,,165,399,,,"26,241","5,652","846,766","1,764,352","42,818","94,586",165,24,"25,528","5,040","732,587","813,754","19,422","21,323",,,,,,
"70,000  to  79,999","736,969","687,987","57,720,454","-2,575,998","55,144,456","9,699,660","46,030,399","1,304,770","639,637","44,700,759","325,583","348,352","137,893","681,817","139,601","4,966,819","84,651","2,120,472","35,579","-274,437","80,455","723,857","45,743","-98,599","35,120","515,504","28,302","-378,121","27,984","850,039","16,523","317,180","3,025","45,163",175,794,658,"28,176","1,545","-40,648","260,571","4,809,832","12,024","295,844","736,805","58,390,896","16,850","100,179","88,637","82,871","11,807","18,251",164,205,"85,030","168,074","23,420","166,079","4,158","61,746","2,299",301,"2,811","39,216",,,"208,959","688,564","236,126","3,075,515","108,459","499,516","41,563","671,412","154,224","576,959","137,379","747,626","107,750","60,109","18,525","29,387","154,732","1,414,081","130,193","1,707,552","16,833","35,337","131,456","1,742,889","113,609","395,382","86,218","107,390",876,"5,972","126,739","508,745",,,"84,345","555,217","154,787","4,303,688",984,-825,"293,367","6,569,357","443,384","3,130,303","1,052,245","128,374","529,688","200,222","176,735",134,"736,069","350,142","4,880","3,020","147,092","24,114","125,043","14,726",,,222,382,,,"23,294","5,972","690,062","1,813,800","42,271","120,485",319,39,"27,885","5,305","577,110","767,934","16,675","37,231",,,,,,
"80,000  to  89,999","626,288","604,579","55,230,373","-2,076,502","53,153,871","8,561,942","44,675,963","1,468,036","546,024","42,854,640","313,259","369,510","136,216","699,242","125,148","4,905,775","71,636","1,792,820","33,656","-326,224","83,489","752,383","42,737","-89,582","34,704","502,784","27,375","-349,914","26,797","899,521","17,330","307,268","3,017","54,130",276,"2,137",384,"4,599","1,460","-29,734","234,842","4,363,855","10,001","299,415","626,179","55,807,422","14,022","91,527","56,720","45,823","1,755","3,706",,,"73,456","141,513","19,983","147,491","3,874","53,003","2,852","1,277","3,949","55,345",,,"166,417","590,645","211,745","2,628,425","99,107","551,923","36,370","582,117","153,877","678,324","139,711","787,826","108,922","55,472","16,788","26,527","154,066","1,548,149","133,601","1,778,406","18,372","25,677","134,624","1,804,083","112,312","399,766","87,511","122,874","1,153","5,647","127,287","528,287",55,"1,419","78,447","591,219","154,340","4,409,406","1,043",-686,"287,782","6,164,478","338,342","2,397,464","922,691","112,568","452,227","170,942","154,093",141,"625,721","302,300","4,775","4,440","88,544","18,592","61,492","7,310",55,17,a,184,,,"21,722","6,933","590,540","1,919,263","37,866","94,171",605,91,"28,579","6,045","478,440","692,265","12,717","19,201",,,,,,
"90,000  to  99,999","528,447","517,176","52,042,696","-1,911,324","50,131,373","7,871,244","42,317,979","1,538,721","460,731","40,021,503","291,101","352,340","126,817","672,851","108,635","4,689,773","63,319","1,732,253","27,152","-244,443","76,046","863,259","40,894","-86,152","32,469","488,203","26,986","-274,393","26,018","900,498","17,047","304,990","3,085","79,621",550,"11,397",281,"3,465","1,481","-26,739","210,285","3,899,517","8,880","206,540","528,118","52,552,259","14,438","92,801","36,204","46,803","1,591","2,910",110,182,"63,768","133,933","18,185","136,331","3,730","48,891","2,194","1,468","3,823","40,573",,,"132,987","538,250","191,959","2,334,277","90,322","422,954","33,792","557,313","155,406","807,154","142,247","812,001","111,576","63,884","16,347","19,941","155,856","1,702,981","136,219","1,843,352","18,677","32,924","137,055","1,876,276","117,442","451,407","89,009","115,673","1,326","15,096","129,651","582,175",,,"77,421","561,072","155,912","4,551,191",713,-329,"270,660","6,010,191","257,787","1,861,053","802,338","97,885","391,563","148,011","135,560",114,"528,214","262,398","4,511","2,985","28,789","8,969",,,,,335,259,,,"19,094","5,861","498,488","1,896,240","38,187","116,066",719,57,"23,313","4,792","394,955","629,195","14,600","27,428",,,,,,
"100,000  to  149,999","1,668,517","1,657,697","208,732,535","-5,432,036","203,300,499","30,339,522","174,134,153","7,743,562","1,473,437","162,264,904","1,046,041","1,342,281","491,720","2,894,014","353,088","17,628,022","216,594","6,984,623","103,558","-936,254","297,188","3,638,440","160,084","-341,596","115,908","2,040,772","95,593","-850,525","111,827","5,052,955","73,796","1,457,493","11,724","354,149",988,"10,381","2,242","55,497","4,559","-127,991","660,726","13,454,782","30,465","809,592","1,668,079","211,137,073","58,523","352,056","157,882","203,005","30,401","49,187",329,778,"224,496","536,506","66,218","579,173","18,787","305,345","7,098","2,948","14,304","266,713",,,"498,071","2,461,497","598,865","7,431,029","367,009","1,998,993","97,730","1,564,219","606,924","4,278,131","557,896","4,080,936","437,861","307,406","56,956","69,690","607,489","8,736,164","541,683","8,307,314","80,637","140,434","544,851","8,447,748","467,580","2,010,908","370,433","532,154","4,042","36,991","521,535","2,580,095",55,192,"274,768","2,178,721","607,381","18,761,474","1,678","2,606","1,003,581","25,440,415","664,772","4,899,107","2,705,025","330,013","1,308,236","494,513","425,623",271,"1,667,316","876,385","19,528","17,605","24,843","22,782",,,,,"2,152","6,424",55,66,"61,595","24,818","1,583,998","8,648,703","159,697","648,265","51,197","6,819","1,316",255,"1,188,231","2,367,903","59,627","132,997",,,,,,
"150,000  to  199,999","829,406","827,181","145,026,184","-2,126,144","142,900,040","18,804,320","124,227,433","6,970,085","740,632","112,376,652","612,349","1,072,829","333,512","2,581,023","173,310","10,546,576","115,630","4,722,189","55,129","-476,443","213,354","3,994,061","103,165","-221,900","76,111","1,756,004","19,035","-449,449","87,574","5,247,989","58,853","1,545,136","8,834","276,641","1,115","8,638","1,112","40,353","3,611","-96,191","305,771","7,990,789","18,715","560,061","829,341","146,738,339","34,466","242,550","42,921","21,205","6,904","10,729",,,"123,625","333,704","42,263","437,448","16,800","386,688","3,383","1,410","9,311","224,060",,,"254,611","1,755,442","273,767","3,815,016","249,048","1,688,872","41,488","791,718","406,865","4,329,513","379,083","2,885,701","295,652","180,743","30,916","38,518","407,434","7,434,475","370,816","6,530,389","60,116","146,113","373,877","6,676,502","322,688","1,640,351","263,631","431,435","1,677","32,278","360,256","2,104,064",65,"3,846","157,817","1,464,949","407,598","13,911,216",786,"2,696","597,556","17,065,253","231,845","1,739,067","1,436,336","175,233","708,554","267,833","208,697",118,"828,759","467,863","14,926","21,301","17,239","27,328",,,,,"2,039","5,867",a,256,"30,715","18,290","788,233","6,941,174","115,460","740,319","53,714","15,446",32,7,"552,787","1,468,962","44,251","151,042",,,,,,
"200,000  to  299,999","697,329","695,865","169,409,647","-1,181,148","168,228,499","22,148,655","148,964,150","9,858,663","627,075","126,805,016","558,856","1,489,712","368,592","3,632,597","139,242","9,516,462","104,157","6,163,897","46,299","-471,375","246,803","6,773,008","111,216","-237,858","78,465","2,398,745","22,662","-630,424","109,647","9,868,018","71,801","2,028,954","10,140","458,833","1,249","11,570","1,147","61,916","3,942","-122,118","255,722","8,556,327","20,098","674,900","697,264","171,573,071","14,323","137,731",272,369,a,4,,,"118,313","419,691","48,591","566,992","27,389","705,472","3,535","1,615","7,913","265,521",,,"191,376","2,203,461","236,740","3,735,177","260,829","2,554,030","26,322","712,625","390,191","6,585,288","366,486","3,490,035","281,743","184,710","22,974","36,850","390,304","10,296,883","357,397","7,220,608","64,960","181,990","361,699","7,402,598","316,449","1,933,785","248,345","503,220","1,761","49,401","347,548","2,486,461",32,"4,091","118,298","1,509,142","390,371","14,935,093",389,"1,984","531,572","20,880,742","165,725","1,267,913","1,250,773","152,594","631,940","238,873","177,861",103,"651,937","400,395","18,716","40,719","21,591","54,202",,,,,"2,651","12,807",,,"26,124","19,921","655,024","8,986,940","135,865","1,386,783","66,230","25,559",32,13,"450,725","1,624,475","52,300","265,282",,,,,,
"300,000  to  399,999","283,755","283,327","97,442,245","83,631","97,525,876","9,256,703","88,282,280","6,567,219","255,431","70,563,023","244,259","1,007,182","186,672","2,587,765","46,898","3,280,378","46,438","3,625,389","16,555","-214,768","134,308","5,915,377","53,431","-116,276","38,413","1,504,489","13,380","-402,635","65,904","8,935,911","45,052","1,706,727","6,316","336,155",642,"5,919",704,"72,621","1,503","-94,767","102,536","3,957,574","11,381","411,612","283,690","98,842,155","5,488","54,119",33,38,,,,,"57,376","241,313","27,477","381,486","16,711","539,647","1,581","1,024","3,338","170,135",,,"85,247","1,448,136","101,691","1,769,002","135,505","1,852,632","6,878","224,885","174,189","4,524,049","164,450","1,956,670","120,519","77,848","8,565","8,898","174,229","6,567,465","160,016","3,662,126","32,633","155,935","162,453","3,818,061","142,977","1,062,529","104,782","280,792",832,"21,145","155,351","1,364,466",,,"37,603","613,438","174,229","7,340,048",434,"7,869","221,884","8,785,233","61,871","471,470","515,897","62,939","270,668","102,312","69,571",36,"241,090","163,480","11,345","30,248","13,387","47,865",,,,,"1,501","17,746",,,"8,942","8,802","261,584","5,554,775","75,290","1,209,623","32,714","16,570",a,1,"184,365","951,792","32,647","251,402",,,,,,
"400,000  to  499,999","137,275","137,050","60,751,252","322,733","61,073,985","5,100,460","55,987,552","4,448,344","122,141","41,928,319","122,295","707,427","100,118","1,874,456","20,625","1,438,155","23,481","2,361,893","8,053","-146,353","73,949","4,700,432","29,151","-65,935","21,221","940,498","7,117","-303,137","40,243","7,250,444","28,823","1,221,307","3,588","309,219",367,"10,320",371,"34,226",804,"-69,494","50,313","2,264,452","6,228","262,720","137,275","61,740,530","2,745","28,937",a,11,a,21,,,"30,928","158,571","16,154","238,655","11,095","442,624",855,602,"1,711","94,595",,,"43,877","1,006,970","53,402","1,067,981","73,706","1,390,713","2,727","140,179","90,398","3,313,075","85,261","1,190,258","60,471","40,058","3,919","4,847","90,444","4,548,238","82,743","1,988,738","18,529","123,766","84,375","2,112,503","75,190","684,663","52,258","196,135",744,"44,487","80,768","925,295",,,"17,232","470,955","90,457","4,293,457",164,391,"107,812","4,874,834","29,463","225,626","251,494","30,682","135,123","51,076","34,676",19,"95,317","45,283","7,602","32,375","8,909","46,297",,,,,865,"8,295",,,"3,475","4,337","124,490","3,501,318","45,539","1,004,543","15,946","9,634",a,,"85,980","597,832","19,625","194,689",,,,,,
"500,000  to  999,999","202,697","202,329","134,202,012","2,167,190","136,368,588","8,108,750","128,309,185","11,124,163","177,531","84,614,014","188,958","1,893,831","158,989","5,028,405","27,925","1,771,667","34,949","4,923,006","12,201","-269,742","121,246","13,971,995","43,911","-105,110","38,510","2,399,103","13,759","-581,202","77,889","22,813,407","58,658","4,179,593","6,851","829,827","1,049","103,978",642,"79,289","1,425","-143,199","78,871","4,290,918","13,108","910,329","202,686","136,342,389","4,329","46,557",27,49,a,15,,,"51,192","328,514","30,187","495,874","20,302","974,717","1,406","1,494","3,288","282,754",,,"72,250","2,195,493","86,852","2,216,532","122,235","4,383,722","2,859","203,859","144,560","8,766,615","136,704","2,430,571","92,702","66,312","5,737","9,332","144,688","11,272,831","130,020","3,296,020","36,922","452,161","134,748","3,748,181","124,241","1,582,923","80,801","562,672","1,434","113,910","131,836","2,259,504",a,"1,984","27,839","1,118,749","144,698","8,203,040",386,"2,771","145,913","7,649,493","56,785","459,258","371,327","45,302","205,345","77,620","53,915",24,"29,114","5,986","18,377","134,931","21,315","183,757",,,,,"1,554","19,660",a,18,"4,001","5,335","179,427","7,623,971","89,425","3,517,282","23,670","15,991",a,,"119,148","1,475,493","40,491","733,526",,,,,,
"1,000,000  to  1,999,999","61,289","61,232","80,473,774","2,366,351","82,840,092","3,716,336","79,176,412","8,058,575","51,069","39,682,774","59,266","1,618,303","51,437","3,852,426","8,318","559,476","10,970","2,546,352","3,842","-216,526","40,281","12,789,044","13,624","-35,683","15,454","1,636,523","5,861","-362,431","33,588","20,546,541","27,441","3,724,494","3,021","677,566",585,"30,788",300,"68,507",721,"-113,047","28,067","2,819,522","6,829","782,176","61,254","81,535,142","1,463","15,756",a,12,a,2,,,"18,344","176,408","12,463","227,668","7,453","488,547",429,490,"1,349","180,084",,,"25,883","1,119,330","31,346","1,840,781","42,565","4,207,142",606,"52,070","47,830","6,938,461","45,034","1,136,743","27,423","24,094","1,908","6,366","47,886","8,105,664","39,877","1,029,174","17,926","467,102","43,339","1,496,276","43,096","1,200,294","24,499","564,503",881,"148,772","44,486","1,912,511",a,"1,847","11,536","1,023,658","47,894","4,515,816",174,"1,883","40,188","3,539,045","21,099","177,291","110,642","13,498","60,735","22,958","20,364",8,779,469,"10,627","161,471","12,327","221,163",,,,,427,"11,246","55,131","188,402",871,"1,946","51,064","3,943,373","41,355","4,238,075","6,923","5,235",a,1,"32,053","1,253,917","20,539","938,731",,,,,,
"2,000,000  to  2,999,999","14,920","14,911","34,229,385","1,878,453","36,107,838","1,523,635","34,587,748","3,923,148","12,086","14,445,742","14,614","876,031","13,058","1,919,631","2,026","148,700","2,687","870,987","1,048","-91,784","10,367","6,994,725","3,254","-8,772","4,418","665,481","1,688","-146,044","9,574","10,179,504","8,276","2,102,968",910,"348,620",250,"24,536",98,"32,973",234,"-47,206","7,671","998,406","2,086","490,856","14,916","34,575,394",344,"3,694",,,a,4,,,"4,976","66,116","3,372","66,185","1,893","142,427",113,466,403,"73,796",,,"6,806","360,235","8,714","663,006","11,255","2,541,459",123,"15,994","12,136","3,433,144","11,362","391,688","6,573","7,882",463,"3,123","12,162","3,835,837","9,379","245,868","5,751","257,211","10,766","503,079","11,140","514,732","6,001","332,226",304,"81,374","11,454","928,333",,,"3,470","474,640","12,166","1,834,369",55,525,"11,085","1,491,735","3,835","31,900","26,718","3,260","14,402","5,444","5,450",2,202,116,"3,626","90,272","4,186","123,132",,,,,63,"2,368","14,765","197,579",196,356,"11,989","1,517,490","11,796","2,583,075","1,706","1,376",,,"8,470","684,538","6,294","554,437",,,,,,
"3,000,000  to  3,999,999","6,286","6,280","20,578,127","1,081,417","21,659,544","890,574","20,771,006","2,447,358","5,067","7,893,721","6,190","524,574","5,622","1,181,794",870,"69,691","1,159","520,395",449,"-51,304","4,528","4,754,602","1,314","-3,549","1,999","354,149",765,"-77,851","4,258","6,231,830","3,805","1,191,383",430,"238,802",142,"12,131",49,"16,972",111,"-31,469","3,370","496,665",950,"174,485","6,285","20,742,254",143,"1,548",a,1,,,,,"2,226","35,899","1,507","30,099",802,"60,520",41,58,173,"41,969",,,"3,018","174,516","3,954","414,155","4,993","1,495,571",34,"2,931","5,297","2,142,558","4,961","202,808","2,760","3,416",182,907,"5,307","2,349,689","3,917","100,453","2,729","158,187","4,671","258,640","4,912","330,332","2,520","239,208",145,"51,291","5,009","620,831",,,"1,675","279,545","5,308","1,075,885",32,927,"4,995","879,807","1,291","10,766","11,262","1,374","6,116","2,312","2,387",,76,41,"1,816","60,158","2,070","82,566",,,,,17,"1,273","6,239","145,150",84,667,"4,993","852,437","5,251","1,756,714",765,574,a,1,"3,803","442,186","2,995","374,232",,,,,,
"4,000,000  to  4,999,999","3,483","3,479","14,510,953","1,007,032","15,517,985","638,009","14,881,336","1,790,359","2,825","5,352,089","3,435","393,931","3,160","899,464",465,"33,873",592,"337,870",268,"-58,112","2,578","3,498,699",674,"-1,877","1,158","217,043",438,"-75,044","2,443","4,571,126","2,211","882,611",250,"146,185",89,"13,165",27,"8,207",45,"-16,416","1,965","349,218",589,"151,814","3,481","14,609,993",72,804,,,,,,,"1,226","23,270",819,"17,573",442,"36,396",17,129,106,"27,275",,,"1,675","106,798","2,259","251,211","2,816","1,258,243",15,"1,928","2,951","1,568,644","2,753","135,978","1,573","2,248",112,"1,058","2,959","1,707,928","2,096","53,767","1,624","135,373","2,576","189,140","2,758","209,363","1,444","170,006",78,"49,833","2,816","429,202",,,"1,022","200,170","2,959","737,895",a,50,"2,837","632,656",646,"5,354","6,232",760,"3,361","1,270","1,242",,42,25,"1,102","45,107","1,267","60,102",,,,,13,807,"3,460","114,137",46,438,"2,784","583,357","3,034","1,380,228",440,386,,,"2,231","347,428","1,806","294,057",,,,,,
"5,000,000  and  over","10,344","10,335","150,335,815","11,262,758","161,584,683","11,185,999","150,430,883","19,111,258","8,262","40,230,463","10,245","5,285,608","9,637","12,472,324","1,398","155,003","2,035","2,136,346",864,"-500,565","8,132","64,344,470","1,795","-5,050","3,974","1,218,182","1,445","-269,163","7,773","34,090,216","7,439","10,949,942",902,"954,681",384,"137,547",101,"185,828",225,"-139,171","6,542","2,905,312","1,930","1,637,823","10,338","150,344,755",165,"1,691",,,,,,,"4,086","114,377","2,420","52,209","1,307","83,190",79,210,284,"105,879",,,"5,263","365,391","7,584","3,388,399","8,946","14,651,157",50,"9,284","9,180","16,888,114","8,611","733,904","4,674","11,339",257,"8,513","9,231","17,641,870","5,645","146,923","5,917","1,949,133","8,086","2,096,055","8,708","3,743,258","4,754","5,493,016",435,"954,534","8,857","10,190,808",,,"3,653","2,039,507","9,231","13,215,456",76,"-1,177","9,102","11,175,815","1,242","10,183","18,403","2,245","10,416","3,937","3,924",1,120,54,"3,965","423,259","4,379","531,814",,,,,29,"6,773","10,292","1,401,139",198,"7,023","8,107","4,541,243","9,494","18,256,202","1,255","1,078",,,"7,419","4,568,685","6,403","4,099,878",,,,,,
